Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
5.61073,1.5321,0.001,0,1000,23.4429,84.07,1,0.1064,0
5.71298,2.12313,0.001,0,1000,23.4429,85.07,1,0.1064,0
5.61073,3.29391,0.001,0,1000,23.4429,86.07,1,0.1064,0
3.2054,3.37762,0.001,0,1000,23.4429,87.07,1,0.1064,0
3.2054,2.09665,0.001,0,1000,23.4429,88.07,1,0.1064,0
3.2054,1.47549,0.001,0,1000,23.4429,89.07,1,0.1064,0
3.2054,0.91591,0.001,0,1000,23.4429,90.07,1,0.1064,0
3.26381,0.6527,0.001,0,1000,23.4429,91.07,1,0.1064,0
3.26381,0.43685,0.001,0,1000,23.4429,92.07,1,0.1064,0
3.26381,0.2515,0.001,0,1000,23.4429,93.07,1,0.1064,0
3.38386,0.17479,0.001,0,1000,23.4429,94.07,1,0.1064,0
3.38386,0.11126,0.001,0,1000,23.4429,95.07,1,0.1064,0
2.07801,0.11126,0.001,0,1000,23.4429,96.07,1,0.1064,0
5.53637,0.1,0.001,0,1000,23.4429,158.07,3,0.1064,0
5.78453,0.17783,0.001,0,1000,23.4429,159.07,3,0.1064,0
5.91109,0.23714,0.001,0,1000,23.4429,160.07,3,0.1064,0
5.77235,0.39242,0.001,0,1000,23.4429,161.07,3,0.1064,0
5.76667,0.6043,0.001,0,1000,23.4429,162.07,3,0.1064,0
5.761,0.93057,0.001,0,1000,23.4429,163.07,3,0.1064,0
5.75453,1.43301,0.001,0,1000,23.4429,164.07,3,0.1064,0
5.74968,2.05352,0.001,0,1000,23.4429,165.07,3,0.1064,0
5.74322,3.16228,0.001,0,1000,23.4429,166.07,3,0.1064,0
3.42169,3.16228,0.001,0,1000,23.4429,167.07,3,0.1064,0
3.3489,2.05352,0.001,0,1000,23.4429,168.07,3,0.1064,0
3.35267,1.33352,0.001,0,1000,23.4429,169.07,3,0.1064,0
3.3555,0.93057,0.001,0,1000,23.4429,170.07,3,0.1064,0
3.43518,0.6043,0.001,0,1000,23.4429,171.07,3,0.1064,0
3.43905,0.39242,0.001,0,1000,23.4429,172.07,3,0.1064,0
3.44291,0.25483,0.001,0,1000,23.4429,173.07,3,0.1064,0
3.36967,0.16548,0.001,0,1000,23.4429,174.07,3,0.1064,0
3.37394,0.1,0.001,0,1000,23.4429,175.07,3,0.1064,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.063,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.063,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,0.63,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,2.5,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.3,6.3,0.001,0.00002,1000,1.8,0.07,0,0.051,0
2.84603,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,0.1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,0.4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,0.63,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,1.6,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,2.5,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.3,4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,0.1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,0.4,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,0.4,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,0.63,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,0.63,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,1.6,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.3,2.5,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
3,0.025,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.3,1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.3,1.6,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.3,2.5,0.001,0.00002,1000,1.8,0.07,1,0.051,0
3,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,0.1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,0.4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,0.63,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,2.5,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.3,4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.063,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4.5,0.63,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4.5,1,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,10,0.001,0.00002,1000,1.8,0.07,10,0.051,0
3,0.025,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,10,0.051,0
1.8,0.016,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.016,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
1.8,0.025,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.04,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.063,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.16,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.25,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
