Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
2.15872,0.20525,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.01727,0.25482,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.79767,0.22714,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.26249,0.22067,0.001,0,1000,5.51554,0.07,0,0.0549,0
6.24229,0.21622,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.29277,0.22982,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.27626,0.22982,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.72116,0.26517,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.88296,0.22982,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.08858,0.56224,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.27582,0.56224,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.66207,0.92057,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.24512,0.92057,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.6444,0.1055,0.001,0,1000,22.4429,0.07,0,0.1064,0
5.6426,0.15792,0.001,0,1000,22.4429,1.07,0,0.1064,0
5.50998,0.24548,0.001,0,1000,22.4429,2.07,0,0.1064,0
5.64202,0.27209,0.001,0,1000,22.4429,2.07,0,0.1064,0
5.77722,0.59215,0.001,0,1000,22.4429,4.07,0,0.1064,0
5.64042,0.87674,0.001,0,1000,22.4429,5.07,0,0.1064,0
5.62964,1.26279,0.001,0,1000,22.4429,6.07,0,0.1064,0
5.77519,2.02972,0.001,0,1000,22.4429,7.07,0,0.1064,0
5.77428,2.1211,0.001,0,1000,22.4429,8.07,0,0.1064,0
2.24128,0.10288,0.001,0,1000,22.4429,9.07,0,0.1064,0
2.24044,0.16611,0.001,0,1000,22.4429,10.07,0,0.1064,0
2.22974,0.22055,0.001,0,1000,22.4429,11.07,0,0.1064,0
2.58612,0.29644,0.001,0,1000,22.4429,12.07,0,0.1064,0
2.50098,0.57146,0.001,0,1000,22.4429,12.07,0,0.1064,0
2.41761,0.8772,0.001,0,1000,22.4429,14.07,0,0.1064,0
2.41665,1.26294,0.001,0,1000,22.4429,15.07,0,0.1064,0
2.41568,2.09289,0.001,0,1000,22.4429,16.07,0,0.1064,0
5.61072,0.10715,0.001,0,1000,22.4429,78.07,1,0.1064,0
5.51021,0.16822,0.001,0,1000,22.4429,79.07,1,0.1064,0
5.51021,0.26445,0.001,0,1000,22.4429,80.07,1,0.1064,0
5.51021,0.41028,0.001,0,1000,22.4429,81.07,1,0.1064,0
5.51021,0.62859,0.001,0,1000,22.4429,82.07,1,0.1064,0
5.61072,0.90449,0.001,0,1000,22.4429,82.07,1,0.1064,0
5.61072,1.5221,0.001,0,1000,22.4429,84.07,1,0.1064,0
5.71298,2.12212,0.001,0,1000,22.4429,85.07,1,0.1064,0
5.61072,2.29291,0.001,0,1000,22.4429,86.07,1,0.1064,0
2.2054,2.27762,0.001,0,1000,22.4429,87.07,1,0.1064,0
2.2054,2.09665,0.001,0,1000,22.4429,88.07,1,0.1064,0
2.2054,1.47549,0.001,0,1000,22.4429,89.07,1,0.1064,0
2.2054,0.91591,0.001,0,1000,22.4429,90.07,1,0.1064,0
2.26281,0.6527,0.001,0,1000,22.4429,91.07,1,0.1064,0
2.26281,0.42685,0.001,0,1000,22.4429,92.07,1,0.1064,0
2.26281,0.2515,0.001,0,1000,22.4429,92.07,1,0.1064,0
2.28286,0.17479,0.001,0,1000,22.4429,94.07,1,0.1064,0
2.28286,0.11126,0.001,0,1000,22.4429,95.07,1,0.1064,0
2.07801,0.11126,0.001,0,1000,22.4429,96.07,1,0.1064,0
5.52627,0.1,0.001,0,1000,22.4429,158.07,2,0.1064,0
5.78452,0.17782,0.001,0,1000,22.4429,159.07,2,0.1064,0
5.91109,0.22714,0.001,0,1000,22.4429,160.07,2,0.1064,0
5.77225,0.29242,0.001,0,1000,22.4429,161.07,2,0.1064,0
5.76667,0.6042,0.001,0,1000,22.4429,162.07,2,0.1064,0
5.761,0.92057,0.001,0,1000,22.4429,162.07,2,0.1064,0
5.75452,1.42201,0.001,0,1000,22.4429,164.07,2,0.1064,0
5.74968,2.05252,0.001,0,1000,22.4429,165.07,2,0.1064,0
5.74222,2.16228,0.001,0,1000,22.4429,166.07,2,0.1064,0
2.42169,2.16228,0.001,0,1000,22.4429,167.07,2,0.1064,0
2.2489,2.05252,0.001,0,1000,22.4429,168.07,2,0.1064,0
2.25267,1.22252,0.001,0,1000,22.4429,169.07,2,0.1064,0
2.2555,0.92057,0.001,0,1000,22.4429,170.07,2,0.1064,0
2.42518,0.6042,0.001,0,1000,22.4429,171.07,2,0.1064,0
2.42905,0.29242,0.001,0,1000,22.4429,172.07,2,0.1064,0
2.44291,0.25482,0.001,0,1000,22.4429,172.07,2,0.1064,0
2.26967,0.16548,0.001,0,1000,22.4429,174.07,2,0.1064,0
2.27294,0.1,0.001,0,1000,22.4429,175.07,2,0.1064,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.025,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.04,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.062,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.062,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.16,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,0.62,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,1,0.001,0.00002,1000,1.8,0.07,0,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,1.6,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,2.5,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,4,0.001,0.00002,1000,1.8,0.07,0,0.051,0
6.2,6.2,0.001,0.00002,1000,1.8,0.07,0,0.051,0
2.84602,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,0.025,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,0.1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,0.4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,0.62,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,1,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,1.6,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,2.5,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
6.2,4,0.001,0.00002,1000,1.8,0.07,0.25,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,0.025,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,0.1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,0.4,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,0.4,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,0.62,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,0.62,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
5,1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,1,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,1.6,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
6.2,2.5,0.001,0.00002,1000,1.8,0.07,0.5,0.051,0
2,0.025,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,1,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,1,0.051,0
